number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
5,69.17125,52.45760163,54.8727651,36.05283776,1.419173391,1.311404967,121.3276,21.6779187,41.8090109,44.39464645,753.08,985.5878049,708.3233404,919.1108561,1.543037642,0.95409716,810.6,662.9796748,290.5942009,344.1950658,170.4,118.0325203,148.5844874,92.79919691,1.50703212,1.402879968,205,37.98373984,70.33804092,79.49586428,3698.6858,3072.894528,791.9470941,81.12661206,1.218288238,0.819597467,8958.571,2184.633927,3052.920006,3671.684295,62.564,106.8295935,31.6524096,81.31499194,1.158143597,0.78259462,138.63,72.92487805,57.15221592,50.95595117,8.2524,5.48996748,4.68830002,1.473810722,1.391841633,1.099917815,12.878,3.081414634,4.428100161,5.637966329,127.005316,104.8591426,14.54364543,1.410156108,0.853359245,0.323890089,399.97342,97.54736146,154.8943183,169.5607177,2.2,2.06504065,2.168943542,2.05344505,1.594166699,1.26801993,1,0.991869919,0.4,0.246597575,40.6
5,88.936744,51.25780746,70.35897547,34.93833756,1.445824393,1.374323505,122.90607,19.00236562,46.48233522,44.21598537,743.42,1003.92,696.3138494,938.093093,1.538526557,0.907172867,810.6,702.8915385,296.615154,341.9777841,170.6,114.0923077,148.7373524,89.50573117,1.506997782,1.396291246,205,35.47692308,70.40624972,78.61536806,4617.8858,2972.738692,1043.153792,66.62866206,1.324548305,0.873271312,8958.571,2066.922846,2958.021492,3649.508297,71.69,109.4311538,52.69696748,87.3179612,1.354051962,0.779922591,127.05,76.35,50.28149162,49.0370685,7.8044,5.237230769,4.411557372,1.334465272,1.374615052,1.080797796,12.878,2.974615385,4.489231275,5.644141744,89.605316,96.36046615,8.418911599,1.093554541,0.457810242,0.20626028,399.97342,92.29338,155.3296092,166.4590715,2.4,2.084615385,2.352158045,2.069807829,1.589026915,1.243998359,1,1.053846154,0.489897949,0.2783085,88.6
5,88.936744,51.53112845,70.35897547,35.15051421,1.445824393,1.373324654,122.90607,19.14967078,46.48233522,44.27750272,743.42,1001.523256,696.3138494,935.650714,1.538526557,0.9128084,810.6,698.1612403,296.615154,342.2113601,170.6,114.6046512,148.7373524,89.93911164,1.506997782,1.395985687,205,35.75193798,70.40624972,78.70299568,4617.8858,2995.772101,1043.153792,68.64299117,1.324548305,0.873243974,8958.571,2082.956581,2958.021492,3654.201453,71.69,109.1748062,52.69696748,86.98706188,1.354051962,0.784200336,127.05,75.8372093,50.28149162,49.1399209,7.8044,5.276108527,4.411557372,1.353149189,1.374615052,1.079915127,12.878,2.997674419,4.489231275,5.648609737,89.605316,97.10724047,8.418911599,1.125522779,0.457810242,0.206241999,399.97342,93.0090386,155.3296092,166.8859511,2.4,2.085271318,2.352158045,2.070358384,1.589026915,1.248310953,1,1.046511628,0.489897949,0.279285016,81.8
5,88.936744,51.6693842,70.35897547,35.25833116,1.445824393,1.372812532,122.90607,19.22418311,46.48233522,44.3079458,743.42,1000.310895,696.3138494,934.4176923,1.538526557,0.915652826,810.6,695.7684825,296.615154,342.3230597,170.6,114.8638132,148.7373524,90.15912987,1.506997782,1.395818488,205,35.89105058,70.40624972,78.74601425,4617.8858,3007.423241,1043.153792,69.68499134,1.324548305,0.873230285,8958.571,2091.067031,2958.021492,3656.517869,71.69,109.0451362,52.69696748,86.82015877,1.354051962,0.786355221,127.05,75.57782101,50.28149162,49.19135674,7.8044,5.295774319,4.411557372,1.362699598,1.374615052,1.079471848,12.878,3.009338521,4.489231275,5.650766595,89.605316,97.48498623,8.418911599,1.14204771,0.457810242,0.206232847,399.97342,93.3710449,155.3296092,167.100196,2.4,2.085603113,2.352158045,2.070636931,1.589026915,1.250471708,1,1.042801556,0.489897949,0.27977709,67
5,88.936744,51.80872008,70.35897547,35.36732504,1.445824393,1.372291823,122.90607,19.29927758,46.48233522,44.33816939,743.42,999.0890625,696.3138494,933.1766815,1.538526557,0.918515208,810.6,693.3570313,296.615154,342.4312525,170.6,115.125,148.7373524,90.38141156,1.506997782,1.395641504,205,36.03125,70.40624972,78.78848266,4617.8858,3019.165406,1043.153792,70.75113617,1.324548305,0.873216583,8958.571,2099.240844,2958.021492,3658.813361,71.69,108.9144531,52.69696748,86.65227574,1.354051962,0.788520815,127.05,75.31640625,50.28149162,49.24279458,7.8044,5.31559375,4.411557372,1.372392819,1.374615052,1.079027261,12.878,3.02109375,4.489231275,5.652870252,89.605316,97.86568313,8.418911599,1.158947222,0.457810242,0.206223687,399.97342,93.73587938,155.3296092,167.3149743,2.4,2.0859375,2.352158045,2.070917692,1.589026915,1.252635285,1,1.0390625,0.489897949,0.280271736,57.9
5,88.936744,52.09068323,70.35897547,35.58891931,1.445824393,1.371224264,122.90607,19.45124039,46.48233522,44.39792979,743.42,996.6165354,696.3138494,930.6703849,1.538526557,0.924294382,810.6,688.4771654,296.615154,342.6367599,170.6,115.6535433,148.7373524,90.83290367,1.506997782,1.395257657,205,36.31496063,70.40624972,78.87170665,4617.8858,3042.92711,1043.153792,72.95877313,1.324548305,0.873189136,8958.571,2115.781551,2958.021492,3663.339025,71.69,108.65,52.69696748,86.31353644,1.354051962,0.792884216,127.05,74.78740157,50.28149162,49.34566252,7.8044,5.355700787,4.411557372,1.392219689,1.374615052,1.078134121,12.878,3.04488189,4.489231275,5.656912433,89.605316,98.63606976,8.418911599,1.19391436,0.457810242,0.206205344,399.97342,94.47416646,155.3296092,167.74612,2.4,2.086614173,2.352158045,2.071485962,1.589026915,1.256970432,1,1.031496063,0.489897949,0.281268836,54.5
5,88.936744,52.37712198,70.35897547,35.81545264,1.445824393,1.370121207,122.90607,19.60561532,46.48233522,44.45672542,743.42,994.1047619,696.3138494,928.1311981,1.538526557,0.930147012,810.6,683.5198413,296.615154,342.8271446,170.6,116.1904762,148.7373524,91.29387176,1.506997782,1.394833069,205,36.6031746,70.40624972,78.95253892,4617.8858,3067.065984,1043.153792,75.27199685,1.324548305,0.873161634,8958.571,2132.58481,2958.021492,3667.773186,71.69,108.3813492,52.69696748,85.97077619,1.354051962,0.797290695,127.05,74.25,50.28149162,49.44849603,7.8044,5.396444444,4.411557372,1.412654587,1.374615052,1.077235631,12.878,3.069047619,4.489231275,5.660724862,89.605316,99.41868476,8.418911599,1.230516966,0.457810242,0.206186969,399.97342,95.22417238,155.3296092,168.1793641,2.4,2.087301587,2.352158045,2.072063412,1.589026915,1.261315401,1,1.023809524,0.489897949,0.282276496,50.6
5,88.936744,52.66814376,70.35897547,36.04708728,1.445824393,1.368981857,122.90607,19.76246024,46.48233522,44.51449467,743.42,991.5528,696.3138494,925.5584792,1.538526557,0.93607419,810.6,678.4832,296.615154,343.0016305,170.6,116.736,148.7373524,91.76461122,1.506997782,1.394366631,205,36.896,70.40624972,79.030844,4617.8858,3091.59108,1043.153792,77.69735721,1.324548305,0.873134077,8958.571,2149.65692,2958.021492,3672.110307,71.69,108.1084,52.69696748,85.62392572,1.354051962,0.801740366,127.05,73.704,50.28149162,49.55126466,7.8044,5.43784,4.411557372,1.433723647,1.374615052,1.076331712,12.878,3.0936,4.489231275,5.664295527,89.605316,100.2138216,8.418911599,1.268854625,0.457810242,0.206168562,399.97342,95.9861784,155.3296092,168.61468,2.4,2.088,2.352158045,2.072650266,1.589026915,1.265669125,1,1.016,0.489897949,0.283294899,32.9
5,88.936744,51.26994954,70.35897547,34.94140923,1.445824393,1.426743567,122.90607,16.87750046,46.48233522,44.23982932,743.42,1004.216923,696.3138494,938.6272976,1.538526557,0.917871126,810.6,698.7292308,296.615154,341.5587966,170.6,113.6461538,148.7373524,89.32663067,1.506997782,1.434099923,205,32.03076923,70.40624972,77.98785522,4617.8858,2993.015615,1043.153792,66.91639236,1.324548305,0.910598742,8958.571,2066.922846,2958.021492,3659.745571,71.69,109.6930769,52.69696748,88.10354993,1.354051962,0.792138721,127.05,75.96923077,50.28149162,48.6235776,7.8044,5.224153846,4.411557372,1.33201527,1.374615052,1.105383935,12.878,2.926153846,4.489231275,5.639693143,89.605316,96.32200462,8.418911599,1.090820524,0.457810242,0.207860071,399.97342,92.29338,155.3296092,166.4777494,2.4,2.092307692,2.352158045,2.076273559,1.589026915,1.27019996,1,1.030769231,0.489897949,0.289459811,81.8
5,88.936744,51.54336465,70.35897547,35.15362849,1.445824393,1.425870518,122.90607,17.0083338,46.48233522,44.30142259,743.42,1001.822481,696.3138494,936.1876593,1.538526557,0.923610655,810.6,693.9666667,296.615154,341.7915084,170.6,114.1550388,148.7373524,89.75775025,1.506997782,1.433929192,205,32.27906977,70.40624972,78.07424906,4617.8858,3016.206209,1043.153792,68.94172307,1.324548305,0.910571701,8958.571,2082.956581,2958.021492,3664.37588,71.69,109.4387597,52.69696748,87.77576772,1.354051962,0.796505204,127.05,75.45348837,50.28149162,48.72547375,7.8044,5.262930233,4.411557372,1.350645644,1.374615052,1.104507914,12.878,2.948837209,4.489231275,5.644220841,89.605316,97.06848078,8.418911599,1.122687053,0.457810242,0.207841787,399.97342,93.0090386,155.3296092,166.904899,2.4,2.093023256,2.352158045,2.076876049,1.589026915,1.274663284,1,1.023255814,0.489897949,0.290465023,61.4
