number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
4,88.9444675,57.86269229,66.36159243,36.11661191,1.181795239,1.062395545,122.90607,31.79492086,51.96882779,53.62253453,775.425,1010.268571,718.1529,938.0167801,1.305967036,0.791487788,810.6,735.9857143,323.8118078,355.5629667,160.25,105.5142857,136.1260031,84.52842272,1.259243972,1.207039987,205,42.91428571,75.2375405,69.23556948,4654.35725,2961.502286,724.9532109,53.54381092,1.033128801,0.81459819,8958.571,1579.583429,3306.162897,3572.596624,81.8375,111.7271429,60.12317856,99.41468205,1.159686593,0.787381691,127.05,80.98714286,51.43371189,42.55839575,6.9055,3.846857143,3.479474849,1.040985986,1.088575342,0.994998193,12.878,1.744571429,4.599064117,4.666919554,107.756645,61.01518857,7.06248773,0.621979487,0.30814799,0.262848266,399.97342,57.12766857,168.8542438,138.5171625,2.25,2.257142857,2.213363839,2.21978343,1.368922361,1.066221032,1,1.085714286,0.433012702,0.437058815,29
5,92.729214,58.51841614,73.13278722,36.39660203,1.449309193,1.057755123,122.90607,36.161939,47.09463317,53.97986965,766.44,1010.612857,720.6055105,938.7454125,1.544144543,0.807078215,810.6,743.1642857,290.1830291,354.9635112,161.2,104.9714286,141.4652148,84.37016696,1.50832754,1.204114798,205,50.57142857,67.32131906,68.00881696,5821.4858,3021.016571,1237.09508,54.09571826,1.314442185,0.914802177,10488.571,1667.383429,3767.403176,3632.649185,90.89,112.3164286,69.83331461,101.1663977,1.427996553,0.838666466,127.05,81.20785714,49.43816744,41.6676208,7.7844,3.796857143,4.403790498,1.035251116,1.37497728,1.073093846,12.878,1.595714286,4.473362655,4.60300006,172.205316,61.37233143,16.06422788,0.619734632,0.847404163,0.567706108,429.97342,51.41338286,198.5546003,139.6309224,2,2.257142857,1.888175023,2.210679409,1.557113098,1.047221368,2,1.128571429,0.632455532,0.46860627,26
4,88.9444675,57.88524186,66.36159243,36.12250904,1.181795239,0.975980464,122.90607,35.741099,51.96882779,53.65626773,775.425,1010.82,718.1529,939.0090357,1.305967036,0.773620193,810.6,743.1642857,323.8118078,354.8041829,160.25,104.6857143,136.1260031,84.21457324,1.259243972,1.132546863,205,49.31428571,75.2375405,67.79771232,4654.35725,2999.159429,724.9532109,53.97402237,1.033128801,0.760305153,8958.571,1667.383429,3306.162897,3592.019281,81.8375,112.2135714,60.12317856,101.0821524,1.159686593,0.786006736,127.05,81.20785714,51.43371189,41.6398778,6.9055,3.822571429,3.479474849,1.037439425,1.088575342,0.927479442,12.878,1.757142857,4.599064117,4.649635465,107.756645,60.94376,7.06248773,0.619094683,0.30814799,0.250477444,399.97342,57.12766857,168.8542438,138.5406127,2.25,2.271428571,2.213363839,2.232678522,1.368922361,1.029174687,1,1.114285714,0.433012702,0.44469664,19
4,88.9444675,57.87396707,66.36159243,36.11956035,1.181795239,1.022290892,122.90607,33.76800993,51.96882779,53.63940497,775.425,1010.544286,718.1529,938.5127767,1.305967036,0.78320666,810.6,739.575,323.8118078,355.1838844,160.25,105.1,136.1260031,84.37135205,1.259243972,1.173032918,205,46.11428571,75.2375405,68.52166498,4654.35725,2980.330857,724.9532109,53.75848629,1.033128801,0.788888532,8958.571,1623.483429,3306.162897,3582.370597,81.8375,111.9703571,60.12317856,100.2449502,1.159686593,0.786900489,127.05,81.0975,51.43371189,42.10234422,6.9055,3.834714286,3.479474849,1.039211192,1.088575342,0.964031049,12.878,1.744571429,4.599064117,4.658301352,107.756645,60.97947429,7.06248773,0.620535408,0.30814799,0.257045108,399.97342,57.12766857,168.8542438,138.5288927,2.25,2.264285714,2.213363839,2.226221639,1.368922361,1.048834273,1,1.1,0.433012702,0.440952124,22
4,88.9444675,57.84014271,66.36159243,36.11071574,1.181795239,1.12922373,122.90607,27.84874271,51.96882779,53.58877061,775.425,1009.717143,718.1529,937.025573,1.305967036,0.805229641,810.6,728.8071429,323.8118078,356.3192814,160.25,106.3428571,136.1260031,84.84344184,1.259243972,1.261193719,205,36.51428571,75.2375405,70.63444844,4654.35725,2923.845143,724.9532109,53.11702857,1.033128801,0.859810869,8958.571,1491.783429,3306.162897,3552.668664,81.8375,111.2407143,60.12317856,97.77471863,1.159686593,0.787396183,127.05,80.76642857,51.43371189,43.45205921,6.9055,3.871142857,3.479474849,1.044544671,1.088575342,1.044969536,12.878,1.744571429,4.599064117,4.684013951,107.756645,61.08661714,7.06248773,0.624877734,0.30814799,0.272819939,399.97342,57.12766857,168.8542438,138.4936715,2.25,2.242857143,2.213363839,2.206962815,1.368922361,1.096051918,1,1.057142857,0.433012702,0.428809458,23
4,88.9444675,57.79504357,66.36159243,36.09892629,1.181795239,1.225202803,122.90607,20.68745786,51.96882779,53.52115035,775.425,1008.614286,718.1529,935.0462999,1.305967036,0.82474265,810.6,714.45,323.8118078,357.8245657,160.25,108,136.1260031,85.47700648,1.259243972,1.331338901,205,23.71428571,75.2375405,73.32413362,4654.35725,2848.530857,724.9532109,52.27364204,1.033128801,0.93236871,8958.571,1316.183429,3306.162897,3511.262204,81.8375,110.2678571,60.12317856,94.57550494,1.159686593,0.784461486,127.05,80.325,51.43371189,45.17068268,6.9055,3.919714286,3.479474849,1.051698579,1.088575342,1.111850293,12.878,1.744571429,4.599064117,4.717641896,107.756645,61.22947429,7.06248773,0.630714805,0.30814799,0.288235642,399.97342,57.12766857,168.8542438,138.4465669,2.25,2.214285714,2.213363839,2.181543297,1.368922361,1.141473896,1,1,0.433012702,0.410325903,23
4,88.9444675,57.68229571,66.36159243,36.06946951,1.181795239,1.316856588,122.90607,10.76563857,51.96882779,53.35155798,775.425,1005.857143,718.1529,930.116389,1.305967036,0.841871802,810.6,678.5571429,323.8118078,361.5456417,160.25,112.1428571,136.1260031,87.08169408,1.259243972,1.367278675,205,15.42857143,75.2375405,79.50099473,4654.35725,2660.245143,724.9532109,50.22329802,1.033128801,1.034876932,8958.571,1279.183429,3306.162897,3398.249436,81.8375,107.8357143,60.12317856,87.02798001,1.159686593,0.762603397,127.05,79.22142857,51.43371189,49.12109464,6.9055,4.041142857,3.479474849,1.069798443,1.088575342,1.156820624,12.878,1.744571429,4.599064117,4.79853083,107.756645,61.58661714,7.06248773,0.645547145,0.30814799,0.309727103,399.97342,57.12766857,168.8542438,138.3280898,2.25,2.142857143,2.213363839,2.119268045,1.368922361,1.194453006,1,0.857142857,0.433012702,0.349927106,11
4,76.5177175,57.17514186,59.31009613,35.89136809,1.197273033,0.943560479,122.90607,36.451199,44.28945853,52.92413987,787.05,1011.484286,734.2196242,940.1969998,1.313008024,0.776332032,772,742.5,314.5059658,353.8942169,151.75,104.2,131.3021966,84.04112841,1.275273991,1.121818162,171,49.8,65.57962717,66.84857088,4434.35725,2986.588,674.4847514,53.75192856,0.99598278,0.745714935,8958.571,1667.383429,3402.856196,3591.749343,79.6075,112.0861429,48.47726468,99.84616881,1.096671769,0.779396614,135.97,81.33528571,54.37309692,41.94831028,6.9055,3.822571429,3.479474849,1.037439425,1.088575342,0.927479442,12.878,1.757142857,4.599064117,4.649635465,112.006645,61.18661714,8.339818346,0.625003896,0.403693221,0.269729743,399.97342,57.12766857,166.7423511,138.4800078,2.25,2.271428571,2.213363839,2.232678522,1.368922361,1.029174687,1,1.114285714,0.433012702,0.44469664,33
4,76.5177175,56.80881707,59.31009613,35.77343242,1.197273033,0.981879784,122.90607,34.83315993,44.28945853,52.53320698,787.05,1011.540714,734.2196242,940.2943443,1.313008024,0.786865234,772,738.5785714,314.5059658,353.8198315,151.75,104.3714286,131.3021966,84.1108347,1.275273991,1.160059751,171,46.84285714,65.57962717,67.1114577,4434.35725,2961.473714,674.4847514,53.42701749,0.99598278,0.769628332,8958.571,1623.483429,3402.856196,3581.848921,79.6075,111.7792143,48.47726468,98.41196213,1.096671769,0.777657156,135.97,81.28864286,54.37309692,42.55789235,6.9055,3.834714286,3.479474849,1.039211192,1.088575342,0.964031049,12.878,1.744571429,4.599064117,4.658301352,112.006645,61.34376,8.339818346,0.629441023,0.403693221,0.283412117,399.97342,57.12766857,166.7423511,138.437714,2.25,2.264285714,2.213363839,2.226221639,1.368922361,1.048834273,1,1.1,0.433012702,0.440952124,36
4,76.5177175,56.44249229,59.31009613,35.65588427,1.197273033,1.016495368,122.90607,33.21512086,44.28945853,52.13676921,787.05,1011.597143,734.2196242,940.391699,1.313008024,0.795976772,772,734.6571429,314.5059658,353.7454214,151.75,104.5428571,131.3021966,84.18059881,1.275273991,1.19273405,171,43.88571429,65.57962717,67.37288257,4434.35725,2936.359429,674.4847514,53.10407039,0.99598278,0.791445302,8958.571,1579.583429,3402.856196,3571.744474,79.6075,111.4722857,48.47726468,96.99835663,1.096671769,0.775687763,135.97,81.242,54.37309692,43.15668265,6.9055,3.846857143,3.479474849,1.040985986,1.088575342,0.994998193,12.878,1.744571429,4.599064117,4.666919554,112.006645,61.50090286,8.339818346,0.63390965,0.403693221,0.29560903,399.97342,57.12766857,166.7423511,138.3952288,2.25,2.257142857,2.213363839,2.21978343,1.368922361,1.066221032,1,1.085714286,0.433012702,0.437058815,31
